iter	Passed	Remaining
0	84	84608
1	153	76682
2	216	72086
3	289	72111
4	349	69485
5	428	70988
6	501	71181
7	574	71231
8	657	72418
9	754	74733
10	858	77223
11	938	77270
12	112	1127	8513	113	1232	8614	114	1317	8615	115	1409	8616	116	1496	86551
17	1574	85891
18	1643	84870
19	1713	83942
20	1782	83104
21	1852	82372
22	1937	82312
23	2000	81333
24	2071	80777
25	2137	80081
26	2222	80101
27	2311	80257
28	2410	80711
29	2497	80739
30	2553	79824
31	2601	78708
32	2657	77881
33	2703	76799
34	2874	79253
35	3007	80521
36	3058	79608
37	3121	79018
38	3168	78080
39	3219	77264
40	3266	76392
41	3319	75709
42	3377	75160
43	3437	74676
44	3497	74222
45	3576	74173
46	3643	73870
47	3743	74238
48	3838	74491
49	3924	74567
50	4011	74638
51	4090	74569
52	4164	74407
53	4238	74252
54	4311	74083
55	4372	73715
56	4419	73119
57	4479	72748
58	4533	72298
59	4586	71857
60	4637	71382
61	4695	71041
62	4756	70738
63	4815	70426
64	4867	70015
65	4919	69625
66	4969	69198
67	5020	68809
68	5069	68401
69	5125	68096
70	5175	67716
71	5232	67446
72	5279	67042
73	5327	66665
74	5386	66438
75	5439	66132
76	5491	65824
77	5535	65431
78	5586	65124
79	5642	64891
80	5689	64553
81	5744	64306
82	5806	64152
83	5878	64102
84	5942	63967
85	6009	63870
86	6062	63623
87	6116	63389
88	6157	63023
89	6195	62646
90	6228	62214
91	6274	61922
92	6313	61572
93	6349	61195
94	6390	60881
95	6426	60511
96	6456	60103
97	6503	59855
98	6543	59555
99	6576	59189
100	6613	58870
101	6654	58589
102	6693	58292
103	6729	57977
104	6759	57619
105	6792	57290
106	6827	56977
107	6877	56804
108	6919	56564
109	6964	56352
110	7001	56073
111	7039	55816
112	7087	55634
113	7125	55379
114	7156	55071
115	7185	54758
116	7222	54510
117	7264	54301
118	7299	54038
119	7331	53767
120	7362	53484
121	7395	53225
122	7428	52964
123	7465	52740
124	7502	52517
125	7535	52269
126	7567	52018
127	7605	51128	128	7637	51129	129	7670	51130	130	7710	51131	131	7744	50132	7662	49951
133	7713	49851
134	7757	49703
135	7794	49516
136	7832	49339
137	7880	49221
138	7920	49062
139	7963	48918
140	8010	48804
141	8048	48629
142	8087	48466
143	8136	48365
144	8176	48212
145	8217	48069
146	8250	47873
147	8290	47724
148	8326	47554
149	8366	47411
150	8404	47254
151	8447	47127
152	8492	47014
153	8537	46901
154	8573	46740
155	8612	46595
156	8647	46433
157	8693	46329
158	8735	46205
159	8771	46051
160	8805	45889
161	8846	45762
162	8887	45634
163	8930	45523
164	8974	45416
165	9016	45298
166	9056	45171
167	9096	45050
168	9134	44913
169	9189	44865
170	9233	44761
171	9265	44602
172	9301	44462
173	9337	44326
174	9364	44146
175	9393	43979
176	9426	43831
177	9463	43701
178	9499	43572
179	9536	43442
180	9569	43301
181	9603	43162
182	9635	43018
183	9671	42889
184	9699	42729
185	9735	42604
186	9770	42479
187	9802	42339
188	9837	42212
189	9872	42086
190	9904	41952
191	9937	41820
192	9969	41686
193	9997	41537
194	10031	41411
195	10070	41308
196	10104	41186
197	10132	41042
198	10167	40925
199	10202	40808
200	10239	40701
201	10270	40574
202	10305	40460
203	10336	40333
204	10372	40226
205	10404	40103
206	10437	39986
207	10472	39875
208	10506	39763
209	10538	39646
210	10573	39537
211	10605	39420
212	10639	39309
213	10673	39203
214	10706	39092
215	10746	39004
216	10785	38915
217	10810	38780
218	10843	38671
219	10877	38565
220	10912	38466
221	10946	38363
222	10977	38247
223	11009	38139
224	11043	38038
225	11075	37932
226	11110	37834
227	11141	37725
228	11176	37629
229	11208	37523
230	11241	37421
231	11272	37317
232	11293	37177
233	11328	37083
234	11361	36984
235	11393	36882
236	11426	36787
237	11465	36709
238	11503	36629
239	11542	36550
240	11575	36455
241	11609	36364
242	11638	36257
243	11678	36184
244	11718	36110
245	11751	36020
246	11789	35940
247	11822	35849
248	11855	35755
249	11887	35661
250	11926	35588
251	11959	35499
252	11995	35416
253	12028	35329
254	12061	35237
255	12098	35161
256	12127	35060
257	12161	34975
258	12196	34893
259	12232	34815
260	12265	34729
261	12306	34664
262	12339	34579
263	12368	34483
264	12400	34394
265	12433	34309
266	12469	34233
267	12494	34126
268	12531	34053
269	12566	33976
270	12601	33897
271	12639	33830
272	12675	33754
273	12711	33679
274	12744	33599
275	12783	33532
276	12816	33451
277	12848	33369
278	12880	33286
279	12912	33202
280	12948	33130
281	12986	33065
282	13025	33000
283	13057	32920
284	13089	32837
285	13123	32762
286	13156	32683
287	13187	32601
288	13218	32521
289	13256	32456
290	13292	32385
291	13334	32331
292	13357	32230
293	13383	32138
294	13419	32070
295	13452	31995
296	13486	31922
297	13519	31847
298	13558	31786
299	13590	31711
300	13625	31641
301	13661	31575
302	13700	31514
303	13732	31441
304	13768	31374
305	13809	31318
306	13837	31236
307	13865	31152
308	13901	31086
309	13934	31014
310	13964	30937
311	13998	30867
312	14034	30803
313	14067	30732
314	14100	30662
315	14135	30598
316	14173	30538
317	14210	30475
318	14248	30418
319	14287	30361
320	14325	30302
321	14364	30245
322	14407	30197
323	14442	30133
324	14480	30074
325	14514	30008
326	14556	29957
327	14589	29891
328	14626	29830
329	14663	29771
330	14701	29713
331	14738	29655
332	14776	29597
333	14811	29533
334	14848	29474
335	14886	29419
336	14921	29355
337	14961	29303
338	14994	29236
339	15027	29170
340	15066	29117
341	15103	29057
342	15142	29004
343	15177	28943
344	15213	28884
345	15249	28824
346	15268	28733
347	15290	28646
348	15325	28587
349	15361	28528
350	15399	28473
351	15437	28418
352	15471	28357
353	15506	28297
354	15539	28233
355	15571	28168
356	15607	28110
357	15645	28057
358	15683	28002
359	15717	27942
360	15753	27884
361	15788	27826
362	15822	27765
363	15859	27711
364	15896	27656
365	15931	27597
366	15964	27534
367	15997	27474
368	16031	27414
369	16065	27355
370	16100	27296
371	16133	27235
372	16153	27153
373	16179	27081
374	16217	27028
375	16254	26975
376	16281	26905
377	16319	26853
378	16355	26798
379	16390	26741
380	16428	26690
381	16462	26632
382	16501	26582
383	16539	26531
384	16573	26474
385	16596	26400
386	16613	26314
387	16634	26237
388	16652	26155
389	16675	26081
390	16694	26002
391	16715	25926
392	16744	25862
393	16764	25784
394	16787	25712
395	16806	25633
396	16830	25563
397	16851	25488
398	16874	25416
